NOC,Actual_Total_2024,Predicted_Total_2024
AFG,0.0,0.0625
AHO,0.0,0.03125
ALB,2.0,0.0
ALG,3.0,-0.8991434492162806
AND,0.0,0.0
ANG,0.0,0.0
ANT,0.0,0.0
ANZ,0.0,0.17885393413515777
ARG,3.0,2.723786171807859
ARM,4.0,0.5625
ARU,0.0,0.0
ASA,0.0,0.0
AUS,53.0,45.89560346887618
AUT,5.0,3.125
AZE,7.0,1.53125
BAH,0.0,0.2369254373431685
BAN,0.0,0.0
BAR,0.0,0.03125
BDI,0.0,0.0625
BEL,10.0,4.49704804660921
BEN,0.0,0.0
BER,0.0,0.04620562830440681
BHU,0.0,0.0
BIH,0.0,0.0
BIZ,0.0,0.0
BLR,0.0,2.65625
BOH,0.0,0.125
BOL,0.0,0.0
BOT,2.0,0.0625
BRA,20.0,21.0820314512661
BRN,4.0,0.125
BRU,0.0,0.0
BUL,7.0,6.316268037821479
BUR,0.0,0.03125
CAF,0.0,0.0
CAM,0.0,0.0
CAN,27.0,11.547611977063042
CAY,0.0,0.0
CGO,0.0,0.0
CHA,0.0,0.0
CHI,2.0,0.40625
CHN,91.0,64.56962996640898
CIV,1.0,0.3864683856986821
CMR,0.0,0.22619514704401272
COD,0.0,0.0
COK,0.0,0.0
COL,4.0,15.613630244264847
COM,0.0,0.0
CPV,1.0,0.0
CRC,0.0,0.14774882610228246
CRO,7.0,1.28125
CUB,9.0,13.540098910547204
CYP,1.0,0.03125
CZE,5.0,2.09375
DEN,9.0,6.740346706323435
DJI,0.0,0.03125
DMA,1.0,0.0
DOM,3.0,5.039728190075037
ECU,5.0,0.15625
EGY,3.0,1.1875
ERI,0.0,0.03125
ESA,0.0,0.0
ESP,18.0,16.514952231874467
EST,0.0,1.4081434388519605
ETH,4.0,7.133971093794353
EUN,0.0,6.875
FIJ,1.0,0.09375
FIN,0.0,9.5625
FRA,64.0,23.53125
FRG,0.0,6.375
FSM,0.0,0.0
GAB,0.0,0.03125
GAM,0.0,0.0
GBR,65.0,28.625
GBS,0.0,0.0
GDR,0.0,12.78125
GEO,7.0,1.25
GEQ,0.0,0.0
GER,33.0,26.13854899552867
GHA,0.0,0.07238856243527775
GRE,8.0,3.8125
GRN,2.0,0.09375
GUA,2.0,0.03125
GUI,0.0,0.0
GUM,0.0,0.0
GUY,0.0,0.03125
HAI,0.0,0.09375
HKG,4.0,0.28125
HON,0.0,0.0
HUN,19.0,15.159753044433828
INA,3.0,12.141731938791631
IND,6.0,7.712310942158629
IOA,0.0,0.15625
IRI,12.0,12.134658675054752
IRL,7.0,1.1875
IRQ,0.0,0.03125
ISL,0.0,0.35312615214680854
ISR,7.0,0.40625
ISV,0.0,0.03125
ITA,40.0,33.73015927114342
IVB,0.0,0.0
JAM,6.0,8.311930772262645
JOR,1.0,0.09375
JPN,45.0,50.34095965149979
KAZ,7.0,2.21875
KEN,11.0,9.466900715389247
KGZ,6.0,0.21875
KIR,0.0,0.0
KOR,32.0,14.618000974524229
KOS,2.0,0.09375
KSA,0.0,0.125
KUW,0.0,0.09375
LAO,0.0,0.0
LAT,0.0,1.7701129308884922
LBA,0.0,0.0
LBR,0.0,0.0
LCA,2.0,0.0
LES,0.0,0.0
LIB,0.0,0.125
LIE,0.0,0.0
LTU,4.0,0.8125
LUX,0.0,0.14537872920563472
MAD,0.0,0.0
MAL,0.0,0.0
MAR,2.0,1.5288977665556935
MAS,2.0,0.40625
MAW,0.0,0.0
MDA,4.0,0.25
MDV,0.0,0.0
MEX,5.0,4.780454739977106
MGL,1.0,2.6418532392735434
MHL,0.0,0.0
MKD,0.0,0.0625
MLI,0.0,0.0
MLT,0.0,0.0
MNE,0.0,0.03125
MON,0.0,0.03125
MOZ,0.0,0.0625
MRI,0.0,0.03125
MTN,0.0,0.0
MYA,0.0,0.0
NAM,0.0,0.15625
NBO,0.0,0.0
NCA,0.0,0.0
NED,34.0,20.208640489177768
NEP,0.0,0.0
NFL,0.0,0.0
NGR,0.0,-0.36431221207961473
NIG,0.0,0.10770063635964372
NOR,8.0,5.09375
NRU,0.0,0.0
NZL,20.0,18.787870483970867
OMA,0.0,0.0
PAK,1.0,0.21754891541483368
PAN,1.0,0.09375
PAR,0.0,0.03125
PER,1.0,0.12552667740288181
PHI,4.0,1.6792278771572915
PLE,0.0,0.0
PLW,0.0,0.0
PNG,0.0,0.0
POL,10.0,13.79330777342404
POR,4.0,1.159733875224719
PRK,6.0,1.6054099456195507
PUR,2.0,0.6145760823293345
QAT,1.0,0.25
RHO,0.0,0.0
ROT,0.0,0.0
ROU,9.0,3.263414441116529
RSA,6.0,2.78125
RUS,0.0,11.953385495790116
RWA,0.0,0.0
SAA,0.0,0.0
SAM,0.0,0.03125
SCG,0.0,1.65625
SEN,0.0,0.03125
SEY,0.0,0.0
SGP,1.0,0.13599872647684605
SKN,0.0,0.0
SLE,0.0,0.0
SLO,3.0,0.875
SMR,0.0,0.09375
SOL,0.0,0.0
SOM,0.0,0.0
SRB,5.0,0.75
SRI,0.0,0.0625
SSD,0.0,0.0
STP,0.0,0.0
SUD,0.0,0.03125
SUI,8.0,6.59375
SUR,0.0,0.0625
SVK,1.0,1.0
SWE,11.0,15.78125
SWZ,0.0,0.0
SYR,0.0,0.31621241125621424
TAN,0.0,0.0625
TCH,0.0,1.8875879959700743
TGA,0.0,0.03125
THA,6.0,8.896620755786637
TJK,3.0,0.125
TKM,0.0,0.03125
TLS,0.0,0.0
TOG,0.0,0.03125
TPE,7.0,26.701773840977157
TTO,0.0,2.001516953083117
TUN,3.0,1.0990416598922081
TUR,8.0,7.14805449559487
TUV,0.0,0.0
UAE,0.0,0.0625
UAR,0.0,0.0625
UGA,2.0,-0.24663486335096674
UKR,12.0,4.34375
UNK,0.0,0.0
URS,0.0,3.2665787293848325
URU,0.0,0.3125
USA,113.0,81.47592292494612
UZB,5.0,4.96875
VAN,0.0,0.40625
VEN,4.0,0.8864004648120255
VIE,0.0,0.21875
VIN,0.0,0.0
VNM,0.0,0.0
WIF,0.0,0.15625
YAR,0.0,0.0
YEM,0.0,0.0
YMD,0.0,0.0
YUG,0.0,1.2167807278801464
ZAM,1.0,0.125
ZIM,0.0,0.84375
